Source [urn:wisebed:ctitestbed:0x1cde], Text [NEW_NB;0x153d;Time;3; Node ;0x1cde; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.081+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [NEW_NB;0xc9b;Time;3; Node ;0x1cd0; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:41.712+02:00]
Source [urn:wisebed:ctitestbed:0x057b], Text [NEW_NB;0x1c98;Time;3; Node ;0x57b; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.087+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [NEW_NB;0x1c98;Time;3; Node ;0x1cd0; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:41.713+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [NEW_NB;0xa41c;Time;3; Node ;0x1cd0; has ;3; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:41.713+02:00]
Source [urn:wisebed:ctitestbed:0x14e7], Text [NEW_NB;0x1ccd;Time;3; Node ;0x14e7; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.093+02:00]
Source [urn:wisebed:ctitestbed:0x1b85], Text [NEW_NB;0x1b8b;Time;3; Node ;0x1b85; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.087+02:00]
Source [urn:wisebed:ctitestbed:0x14e7], Text [NEW_NB;0x997b;Time;3; Node ;0x14e7; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.093+02:00]
Source [urn:wisebed:ctitestbed:0x0c9b], Text [NEW_NB;0x1cde;Time;3; Node ;0xc9b; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:41.718+02:00]
Source [urn:wisebed:ctitestbed:0x6699], Text [NEW_NB;0x1bc4;Time;3; Node ;0x6699; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.080+02:00]
Source [urn:wisebed:ctitestbed:0x0cb1], Text [NEW_NB;0x1cde;Time;3; Node ;0xcb1; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.091+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [NEW_NB;0x1cde;Time;3; Node ;0x153d; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.093+02:00]
Source [urn:wisebed:ctitestbed:0x0c9b], Text [NEW_NB;0xcb1;Time;3; Node ;0xc9b; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:41.718+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [NEW_NB_BIDI;0x1cde;Time;3; Node ;0x153d; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.094+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [NEW_NB;0x997b;Time;3; Node ;0x153d; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.094+02:00]
Source [urn:wisebed:ctitestbed:0x6666], Text [NEW_NB;0xa41c;Time;3; Node ;0x6666; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.092+02:00]
Source [urn:wisebed:ctitestbed:0x7b99], Text [NEW_NB;0x1bc4;Time;3; Node ;0x7b99; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.094+02:00]
Source [urn:wisebed:ctitestbed:0x1ccd], Text [NEW_NB;0x1bc4;Time;3; Node ;0x1ccd; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.099+02:00]
Source [urn:wisebed:ctitestbed:0x7b99], Text [NEW_NB;0x997b;Time;3; Node ;0x7b99; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.097+02:00]
Source [urn:wisebed:ctitestbed:0x997b], Text [NEW_NB;0x7b99;Time;3; Node ;0x997b; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.104+02:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [NEW_NB;0xcb1;Time;3; Node ;0x1cde; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.107+02:00]
Source [urn:wisebed:ctitestbed:0x997b], Text [NEW_NB;0x6699;Time;3; Node ;0x997b; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.107+02:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [NEW_NB_BIDI;0xcb1;Time;3; Node ;0x1cde; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.110+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [NEW_NB;0x7b99;Time;3; Node ;0x153d; has ;3; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.115+02:00]
Source [urn:wisebed:ctitestbed:0x1bc4], Text [NEW_NB;0x997b;Time;3; Node ;0x1bc4; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.111+02:00]
Source [urn:wisebed:ctitestbed:0x1bc4], Text [NEW_NB;0x7b99;Time;3; Node ;0x1bc4; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.114+02:00]
Source [urn:wisebed:ctitestbed:0x1bc4], Text [NEW_NB_BIDI;0x7b99;Time;3; Node ;0x1bc4; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.116+02:00]
Source [urn:wisebed:ctitestbed:0x1bc4], Text [NEW_NB;0x6699;Time;3; Node ;0x1bc4; has ;3; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.119+02:00]
Source [urn:wisebed:ctitestbed:0x1bc4], Text [NEW_NB_BIDI;0x6699;Time;3; Node ;0x1bc4; has ;3; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:43.122+02:00]
Source [urn:wisebed:ctitestbed:0x1bc4], Text [NEW_NB;0x1b71;Time;6; Node ;0x1bc4; has ;4; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.070+02:00]
Source [urn:wisebed:ctitestbed:0x0c9b], Text [NEW_NB;0x1cd0;Time;6; Node ;0xc9b; has ;3; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:44.703+02:00]
Source [urn:wisebed:ctitestbed:0x0c9b], Text [NEW_NB_BIDI;0x1cd0;Time;6; Node ;0xc9b; has ;3; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:44.704+02:00]
Source [urn:wisebed:ctitestbed:0x1b77], Text [NEW_NB;0x57b;Time;6; Node ;0x1b77; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.083+02:00]
Source [urn:wisebed:ctitestbed:0x1c98], Text [NEW_NB;0x57b;Time;6; Node ;0x1c98; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.085+02:00]
Source [urn:wisebed:ctitestbed:0x1c98], Text [NEW_NB_BIDI;0x57b;Time;6; Node ;0x1c98; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.088+02:00]
Source [urn:wisebed:ctitestbed:0x1b8b], Text [NEW_NB;0x1b85;Time;6; Node ;0x1b8b; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.090+02:00]
Source [urn:wisebed:ctitestbed:0x7b99], Text [NEW_NB_BIDI;0x997b;Time;6; Node ;0x7b99; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.089+02:00]
Source [urn:wisebed:ctitestbed:0xa41c], Text [NEW_NB;0x1cd0;Time;6; Node ;0xa41c; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.098+02:00]
Source [urn:wisebed:ctitestbed:0x1b8b], Text [NEW_NB_BIDI;0x1b85;Time;6; Node ;0x1b8b; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.093+02:00]
Source [urn:wisebed:ctitestbed:0x057b], Text [NEW_NB_BIDI;0x1c98;Time;6; Node ;0x57b; has ;1; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:46.100+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [NEW_NB_BIDI;0xc9b;Time;6; Node ;0x1cd0; has ;3; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:44.719+02:00]
Source [urn:wisebed:ctitestbed:0x6699], Text [NEW_NB;0x997b;Time;6; Node ;0x6699; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.087+02:00]
Source [urn:wisebed:ctitestbed:0x6699], Text [NEW_NB_BIDI;0x997b;Time;6; Node ;0x6699; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.089+02:00]
Source [urn:wisebed:ctitestbed:0xa41c], Text [NEW_NB_BIDI;0x1cd0;Time;6; Node ;0xa41c; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.101+02:00]
Source [urn:wisebed:ctitestbed:0xa41c], Text [NEW_NB;0x6666;Time;6; Node ;0xa41c; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.104+02:00]
Source [urn:wisebed:ctitestbed:0xa41c], Text [NEW_NB_BIDI;0x6666;Time;6; Node ;0xa41c; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.106+02:00]
Source [urn:wisebed:ctitestbed:0x0cb1], Text [NEW_NB;0x1ccd;Time;6; Node ;0xcb1; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.108+02:00]
Source [urn:wisebed:ctitestbed:0x997b], Text [NEW_NB_BIDI;0x7b99;Time;6; Node ;0x997b; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.106+02:00]
Source [urn:wisebed:ctitestbed:0x0cb1], Text [NEW_NB_BIDI;0x1cde;Time;6; Node ;0xcb1; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.110+02:00]
Source [urn:wisebed:ctitestbed:0x997b], Text [NEW_NB_BIDI;0x6699;Time;6; Node ;0x997b; has ;2; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:46.109+02:00]
Source [urn:wisebed:ctitestbed:0x0cb1], Text [NEW_NB;0xc9b;Time;6; Node ;0xcb1; has ;3; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:46.113+02:00]
Source [urn:wisebed:ctitestbed:0x0cb1], Text [NEW_NB_BIDI;0xc9b;Time;6; Node ;0xcb1; has ;3; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:46.116+02:00]
