Source [urn:wisebed:ctitestbed:0x1b77], Text [Node 0x1b77 received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.737+02:00]
Source [urn:wisebed:ctitestbed:0x1b77], Text [Enable::0x1b77::1::], Level[DEBUG], Time[2011-02-06T14:05:55.737+02:00]
Source [urn:wisebed:ctitestbed:0x1b71], Text [Node 0x1b71 received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.763+02:00]
Source [urn:wisebed:ctitestbed:0x1b71], Text [Enable::0x1b71::1::], Level[DEBUG], Time[2011-02-06T14:05:55.764+02:00]
Source [urn:wisebed:ctitestbed:0x057b], Text [Node 0x57b received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.739+02:00]
Source [urn:wisebed:ctitestbed:0x057b], Text [Enable::0x57b::1::], Level[DEBUG], Time[2011-02-06T14:05:55.739+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [Node 0x153d received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.767+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [Enable::0x153d::1::], Level[DEBUG], Time[2011-02-06T14:05:55.767+02:00]
Source [urn:wisebed:ctitestbed:0x1b85], Text [Node 0x1b85 received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.768+02:00]
Source [urn:wisebed:ctitestbed:0xddba], Text [Node 0xddba received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.774+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [Node 0x1cd0 received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.463+02:00]
Source [urn:wisebed:ctitestbed:0x14e7], Text [Node 0x14e7 received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.774+02:00]
Source [urn:wisebed:ctitestbed:0xddba], Text [Enable::0xddba::1::], Level[DEBUG], Time[2011-02-06T14:05:55.775+02:00]
Source [urn:wisebed:ctitestbed:0x1b85], Text [Enable::0x1b85::1::], Level[DEBUG], Time[2011-02-06T14:05:55.770+02:00]
Source [urn:wisebed:ctitestbed:0x14e7], Text [Enable::0x14e7::1::], Level[DEBUG], Time[2011-02-06T14:05:55.775+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [Enable::0x1cd0::1::], Level[DEBUG], Time[2011-02-06T14:05:55.464+02:00]
Source [urn:wisebed:ctitestbed:0x7b99], Text [Node 0x7b99 received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.770+02:00]
Source [urn:wisebed:ctitestbed:0x0c9b], Text [Node 0xc9b received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.465+02:00]
Source [urn:wisebed:ctitestbed:0x1b77], Text [Node 0x1b77 received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.737+02:00]
Source [urn:wisebed:ctitestbed:0x0c9b], Text [Enable::0xc9b::1::], Level[DEBUG], Time[2011-02-06T14:05:55.466+02:00]
Source [urn:wisebed:ctitestbed:0x1b77], Text [Enable::0x1b77::1::], Level[DEBUG], Time[2011-02-06T14:05:55.737+02:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [Node 0x1cde received enable from uart 1], Level[DEBUG], Time[2011-02-06T14:05:55.775+02:00]
