Source [urn:wisebed:uzl1:0x2028], Text [*Boot*0x2028], Level [DEBUG], Time [2011-11-01T14:50:53.903+01:00]
Source [urn:wisebed:uzl1:0x2028], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:53.903+01:00]
Source [urn:wisebed:uzl1:0x2028], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:53.903+01:00]
Source [urn:wisebed:uzl1:0x2028], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:54.904+01:00]
Source [urn:wisebed:uzl1:0x2011], Text [*Boot*0x2011], Level [DEBUG], Time [2011-11-01T14:50:56.360+01:00]
Source [urn:wisebed:uzl1:0x2011], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:56.360+01:00]
Source [urn:wisebed:uzl1:0x2011], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:56.361+01:00]
Source [urn:wisebed:uzl1:0x2038], Text [*Boot*0x2038], Level [DEBUG], Time [2011-11-01T14:50:56.600+01:00]
Source [urn:wisebed:uzl1:0x2038], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:56.600+01:00]
Source [urn:wisebed:uzl1:0x2005], Text [*Boot*0x2005], Level [DEBUG], Time [2011-11-01T14:50:56.788+01:00]
Source [urn:wisebed:uzl1:0x2005], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:56.789+01:00]
Source [urn:wisebed:uzl1:0x2005], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:56.789+01:00]
Source [urn:wisebed:uzl1:0x2019], Text [*Boot*0x2019], Level [DEBUG], Time [2011-11-01T14:50:56.377+01:00]
Source [urn:wisebed:uzl1:0x2019], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:56.378+01:00]
Source [urn:wisebed:uzl1:0x2004], Text [*Boot*0x2004], Level [DEBUG], Time [2011-11-01T14:50:56.930+01:00]
Source [urn:wisebed:uzl1:0x2004], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:56.930+01:00]
Source [urn:wisebed:uzl1:0x2008], Text [*Boot*0x2008], Level [DEBUG], Time [2011-11-01T14:50:56.949+01:00]
Source [urn:wisebed:uzl1:0x2008], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:56.950+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [*Boot*0x202d], Level [DEBUG], Time [2011-11-01T14:50:57.001+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:57.002+01:00]
Source [urn:wisebed:uzl1:0x202c], Text [*Boot*0x202c], Level [DEBUG], Time [2011-11-01T14:50:57.009+01:00]
Source [urn:wisebed:uzl1:0x202c], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:57.009+01:00]
Source [urn:wisebed:uzl1:0x202c], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:57.010+01:00]
Source [urn:wisebed:uzl1:0x2039], Text [*Boot*0x2039], Level [DEBUG], Time [2011-11-01T14:50:57.267+01:00]
Source [urn:wisebed:uzl1:0x2039], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:57.267+01:00]
Source [urn:wisebed:uzl1:0x2039], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:57.268+01:00]
Source [urn:wisebed:uzl1:0x2040], Text [*Boot*0x2040], Level [DEBUG], Time [2011-11-01T14:50:57.310+01:00]
Source [urn:wisebed:uzl1:0x2040], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:57.310+01:00]
Source [urn:wisebed:uzl1:0x2045], Text [*Boot*0x2045], Level [DEBUG], Time [2011-11-01T14:50:57.499+01:00]
Source [urn:wisebed:uzl1:0x2045], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:57.500+01:00]
Source [urn:wisebed:uzl1:0x2044], Text [*Boot*0x2044], Level [DEBUG], Time [2011-11-01T14:50:57.598+01:00]
Source [urn:wisebed:uzl1:0x2044], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:57.599+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [*Boot*0x2031], Level [DEBUG], Time [2011-11-01T14:50:57.460+01:00]
Source [urn:wisebed:uzl1:0x2031], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:57.460+01:00]
Source [urn:wisebed:uzl1:0x2011], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:57.362+01:00]
Source [urn:wisebed:uzl1:0x2010], Text [*Boot*0x2010], Level [DEBUG], Time [2011-11-01T14:50:57.384+01:00]
Source [urn:wisebed:uzl1:0x2010], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:57.384+01:00]
Source [urn:wisebed:uzl1:0x2041], Text [*Boot*0x2041], Level [DEBUG], Time [2011-11-01T14:50:57.596+01:00]
Source [urn:wisebed:uzl1:0x2041], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:57.597+01:00]
Source [urn:wisebed:uzl1:0x2041], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:57.597+01:00]
Source [urn:wisebed:uzl1:0x2038], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:57.601+01:00]
Source [urn:wisebed:uzl1:0x2038], Text [Sread:210:22], Level [DEBUG], Time [2011-11-01T14:50:57.602+01:00]
Source [urn:wisebed:uzl1:0x2038], Text [Sread:211:28], Level [DEBUG], Time [2011-11-01T14:50:57.602+01:00]
Source [urn:wisebed:uzl1:0x2018], Text [*Boot*0x2018], Level [DEBUG], Time [2011-11-01T14:50:57.070+01:00]
Source [urn:wisebed:uzl1:0x2018], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:57.070+01:00]
Source [urn:wisebed:uzl1:0x2018], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:57.070+01:00]
Source [urn:wisebed:uzl1:0x2009], Text [*Boot*0x2009], Level [DEBUG], Time [2011-11-01T14:50:57.740+01:00]
Source [urn:wisebed:uzl1:0x2009], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:57.740+01:00]
Source [urn:wisebed:uzl1:0x2009], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:57.740+01:00]
Source [urn:wisebed:uzl1:0x2005], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:57.790+01:00]
Source [urn:wisebed:uzl1:0x2019], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:57.379+01:00]
Source [urn:wisebed:uzl1:0x2019], Text [Sread:210:10], Level [DEBUG], Time [2011-11-01T14:50:57.379+01:00]
Source [urn:wisebed:uzl1:0x2019], Text [Sread:211:30], Level [DEBUG], Time [2011-11-01T14:50:57.379+01:00]
Source [urn:wisebed:uzl1:0x2004], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:57.931+01:00]
Source [urn:wisebed:uzl1:0x2004], Text [Sread:210:26], Level [DEBUG], Time [2011-11-01T14:50:57.931+01:00]
Source [urn:wisebed:uzl1:0x2004], Text [Sread:211:29], Level [DEBUG], Time [2011-11-01T14:50:57.931+01:00]
Source [urn:wisebed:uzl1:0x2008], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:57.951+01:00]
Source [urn:wisebed:uzl1:0x2008], Text [Sread:210:20], Level [DEBUG], Time [2011-11-01T14:50:57.951+01:00]
Source [urn:wisebed:uzl1:0x2008], Text [Sread:211:28], Level [DEBUG], Time [2011-11-01T14:50:57.951+01:00]
Source [urn:wisebed:uzl1:0x2029], Text [*Boot*0x2029], Level [DEBUG], Time [2011-11-01T14:50:58.014+01:00]
Source [urn:wisebed:uzl1:0x2029], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.014+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.002+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [Sread:210:141], Level [DEBUG], Time [2011-11-01T14:50:58.003+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [Sread:211:31], Level [DEBUG], Time [2011-11-01T14:50:58.003+01:00]
Source [urn:wisebed:uzl1:0x202c], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.011+01:00]
Source [urn:wisebed:uzl1:0x2025], Text [*Boot*0x2025], Level [DEBUG], Time [2011-11-01T14:50:58.018+01:00]
Source [urn:wisebed:uzl1:0x2025], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:58.018+01:00]
Source [urn:wisebed:uzl1:0x2025], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.018+01:00]
Source [urn:wisebed:uzl1:0x2039], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.268+01:00]
Source [urn:wisebed:uzl1:0x2040], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.311+01:00]
Source [urn:wisebed:uzl1:0x2040], Text [Sread:210:8], Level [DEBUG], Time [2011-11-01T14:50:58.311+01:00]
Source [urn:wisebed:uzl1:0x2040], Text [Sread:211:28], Level [DEBUG], Time [2011-11-01T14:50:58.311+01:00]
Source [urn:wisebed:uzl1:0x2024], Text [*Boot*0x2024], Level [DEBUG], Time [2011-11-01T14:50:58.320+01:00]
Source [urn:wisebed:uzl1:0x2024], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.321+01:00]
Source [urn:wisebed:uzl1:0x200c], Text [*Boot*0x200c], Level [DEBUG], Time [2011-11-01T14:50:58.338+01:00]
Source [urn:wisebed:uzl1:0x200c], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.339+01:00]
Source [urn:wisebed:uzl1:0x2045], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:58.500+01:00]
Source [urn:wisebed:uzl1:0x2045], Text [Sread:210:1141], Level [DEBUG], Time [2011-11-01T14:50:58.501+01:00]
Source [urn:wisebed:uzl1:0x2045], Text [Sread:211:27], Level [DEBUG], Time [2011-11-01T14:50:58.501+01:00]
Source [urn:wisebed:uzl1:0x2014], Text [*Boot*0x2014], Level [DEBUG], Time [2011-11-01T14:50:58.361+01:00]
Source [urn:wisebed:uzl1:0x2014], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:58.362+01:00]
Source [urn:wisebed:uzl1:0x2014], Text [power set to -12], Level [DEBUG], Time [2011-11-01T14:50:58.362+01:00]
Source [urn:wisebed:uzl1:0x2030], Text [*Boot*0x2030], Level [DEBUG], Time [2011-11-01T14:50:58.419+01:00]
Source [urn:wisebed:uzl1:0x2030], Text [JI2C:No ack rx], Level [FATAL], Time [2011-11-01T14:50:58.419+01:00]
